,0,1,2,3,4,5
0,"Bán Chung Cư Quan Nhân -Ngã Tư Sở 32-60m2 ,Thiết kế từ 1-3 phòngngủ","Quận Thanh Xuân, Hà Nội",660 triệu,35 m2,2 PN,2 WC
1,"Bán chung cư mini quận ba đình -30-50m2 ,ở ngay","Quận Ba Đình, Hà Nội",780 triệu,35 m2,2 PN,2 WC
2,Bán chung cư Đình Thôn - Mỹ Đình- Phạm Hùng 25m2- 32-55m2 giá từ 620tr,"Quận Nam Từ Liêm, Hà Nội",620 triệu,52 m2,2 PN,1 WC
3,"Nhà Nguyễn Khánh Toàn,Quan Hoa,Cầu Giấy;DT 45Mx9T Giá 10.5 Tỷ","Quận Cầu Giấy, Hà Nội",10 tỷ 500 triệu,45 m2,6 PN,6 WC
4,"Nhà Đẹp Phố Quan Hoa, Cầu Giấy,HN;DT 35Mx5T Giá 4.45 Tỷ","Quận Cầu Giấy, Hà Nội",4 tỷ 450 triệu,35 m2,3 PN,3 WC
5,"Cực hiếm ô tô tránh kinh doanh Nghĩa Tân 75 4tầng mt 5,5m 17 tỷ","Quận Cầu Giấy, Hà Nội",17 tỷ,75 m2,4 PN,4 WC
6,Chung cư V4 Trần Bình - Nguyễn Hoàng- Mỹ Đình - ở ngay hơn 580tr/căn,"Quận Nam Từ Liêm, Hà Nội",597 triệu,48 m2,2 PN,1 WC
7,"Nhà Đẹp Phố Võng Thị,Trích Sài,Tây Hồ;DT 35Mx5T Giá 4.1 Tỷ","Quận Tây Hồ, Hà Nội",4 tỷ 100 triệu,35 m2,3 PN,3 WC
8,"Nhà Trần Cung,Bắc Từ Liêm Khu Đô Thị Nam Cường;DT 35Mx5T Giá 3.95 tỷ","Quận Bắc Từ Liêm, Hà Nội",3 tỷ 950 triệu,35 m2,3 PN,3 WC
9,"Chung cư Chính kinh cạnh roiyal city, 1PN - 3PN, full đồ, ở ngay,","Quận Thanh Xuân, Hà Nội",650 triệu,34 m2,2 PN,2 WC
10,"Chung cư Thái Hà - Yên Lãng, studio, 1PN - 3PN, 550tr/căn, full đồ","Quận Đống Đa, Hà Nội",550 triệu,35 m2,2 PN,2 WC
11,"CH Hoàng Hoa Thám - Đội Cấn, full đồ, ở ngay, sổ hồng lâu dài","Quận Ba Đình, Hà Nội",650 triệu,35 m2,1 PN,1 WC
