,Account_Num,Provider_Num,Similar Score,Facility Name,Provider Name,Address,Provider Street Address
8800711,38285,515641,1.0,ST MARYS MEDICAL CENTER,ST MARYS  MEDICAL CENTER,2635 N 7TH ST,2635 N 7TH STREET
2149418,50717,347401,1.0,MAYO CLINIC HLTH SYSTEM FRANCISCAN MED CTR,MAYO CLINIC HLTH SYSTEM  FRANCISCAN MED CTR,700 WEST AVENUE SOUTH,700 WEST AVENUE SOUTH
5526333,53951,401365,0.9258200997725514,KAISER FOUNDATION HOSPITAL - SAN FRANCISCO,KAISER FOUNDATION HOSPITAL - SOUTH SAN FRANCISCO,2425 GEARY BLVD,1200 EL CAMINO REAL
4013320,79536,632605,0.9258200997725514,KAISER FOUNDATION HOSPITAL - SOUTH SAN FRANCISCO,KAISER FOUNDATION HOSPITAL - SAN FRANCISCO,1200 EL CAMINO REAL,2425 GEARY BLVD
13829045,88766,591880,0.9128709291752769,ROBERT WOOD JOHNSON UNIVERSITY HOSPITAL HAMILTON,ROBERT WOOD JOHNSON UNIVERSITY HOSPITAL,ONE HAMILTON HEALTH PLACE,ONE ROBERT WOOD JOHNSON PLACE
13381350,43086,320686,0.9128709291752769,ROBERT WOOD JOHNSON UNIVERSITY HOSPITAL,ROBERT WOOD JOHNSON UNIVERSITY HOSPITAL SOMERSET,ONE ROBERT WOOD JOHNSON PLACE,110 REHILL AVE
13597440,82820,586802,0.9128709291752769,MERCY HEALTH ST VINCENT MEDICAL CENTER,MERCY ST VINCENT MEDICAL CENTER,2213 CHERRY STREET,2213 CHERRY STREET
524188,81487,833323,0.9128709291752769,"ASCENSION VIA CHRISTI HOSPITAL MANHATTAN, INC","VIA CHRISTI HOSPITAL MANHATTAN, INC",1823 COLLEGE AVE,1823 COLLEGE AVE
14249777,56530,591880,0.9128709291752769,ROBERT WOOD JOHNSON UNIVERSITY HOSPITAL SOMERSET,ROBERT WOOD JOHNSON UNIVERSITY HOSPITAL,110 REHILL AVE,ONE ROBERT WOOD JOHNSON PLACE
13381373,43086,584847,0.9128709291752769,ROBERT WOOD JOHNSON UNIVERSITY HOSPITAL,ROBERT WOOD JOHNSON UNIVERSITY HOSPITAL HAMILTON,ONE ROBERT WOOD JOHNSON PLACE,ONE HAMILTON HEALTH PLACE
7041449,55746,405390,0.8944271909999159,GOOD SHEPHERD MEDICAL CENTER,GOOD SHEPHERD MEDICAL CENTER MARSHALL,610 NW 11TH STREET,811 S WASHINGTON
1130527,83539,658957,0.8944271909999159,ST VINCENT'S MEDICAL CENTER,ST VINCENT'S MEDICAL CENTER RIVERSIDE,2800 MAIN ST,1 SHIRCLIFF WAY
11310486,44936,603956,0.8944271909999159,THREE RIVERS MEDICAL CENTER,ASANTE THREE RIVERS MEDICAL CENTER,2485 HIGHWAY 644,500 SW RAMSEY AVENUE
2951568,10967,397098,0.8944271909999159,CHRISTUS OCHSNER ST PATRICK HOSPITAL,CHRISTUS ST PATRICK HOSPITAL,524 DR MICHAEL DEBAKEY STREET,524 DR MICHAEL DEBAKEY STREET
8126725,29110,229383,0.8944271909999159,WASHINGTON REGIONAL MEDICAL CENTER,WASHINGTON COUNTY REGIONAL MEDICAL CENTER,3215 N NORTH HILLS BOULEVARD,610 SPARTA ROAD
7329793,57550,518911,0.8944271909999159,PROVIDENCE ST JOSEPH MEDICAL CENTER,ST JOSEPH MEDICAL CENTER,6 13TH AVE E,2500 BERNVILLE ROAD
11481726,41189,658892,0.8944271909999159,WELLINGTON REGIONAL MEDICAL CENTER LLC,WELLINGTON REGIONAL MEDICAL CENTER,10101 FOREST HILL BLVD,10101 FOREST HILL BLVD
7330031,57550,125102,0.8944271909999159,PROVIDENCE ST JOSEPH MEDICAL CENTER,ST JOSEPH MEDICAL CENTER,6 13TH AVE E,1401 ST. JOSEPH PARKWAY
3378121,39735,457265,0.8944271909999159,POMONA VALLEY HOSPITAL MEDICAL CENTER,VALLEY HOSPITAL MEDICAL CENTER,1798 N GAREY AVE,620 SHADOW LANE
5222390,84155,341010,0.8944271909999159,ST ELIZABETH MEDICAL CENTER,ST ELIZABETH MEDICAL CENTER NORTH,1200 GRANT BLVD W,1 MEDICAL VILLAGE DRIVE
