,Account_Num,Provider_Num,Similar Score,Facility Name,Provider Name,Address,Provider Street Address
8800711,38285,515641,1.0,ST MARYS MEDICAL CENTER,ST MARYS  MEDICAL CENTER,2635 N 7TH ST,2635 N 7TH STREET
2149418,50717,347401,1.0,MAYO CLINIC HLTH SYSTEM FRANCISCAN MED CTR,MAYO CLINIC HLTH SYSTEM  FRANCISCAN MED CTR,700 WEST AVENUE SOUTH,700 WEST AVENUE SOUTH
932222,13006,146875,0.9938271641731262,THE MOSES H CONE MEMORIAL HOSPITAL,"MOSES H CONE MEMORIAL HOSPITAL, THE",1200 N ELM ST,1200 N ELM ST
8838590,88680,337799,0.9895833283662796,DOCTORS MEMORIAL HOSPITAL INC,DOCTOR'S MEMORIAL HOSPITAL INC,333 N BYRON BUTLER PKWY,333 N BYRON BUTLER PKWY
10764670,77747,334333,0.9888888835906983,ST LUKE'S REGIONAL MEDICAL CENTER,ST LUKES REGIONAL MEDICAL CENTER,190 EAST BANNOCK STREET,2720 STONE PARK BOULEVARD
10772925,82649,126760,0.9888888835906983,ST MARY'S REGIONAL MEDICAL CENTER,ST MARYS REGIONAL MEDICAL CENTER,305 SOUTH 5TH STREET,93 CAMPUS AVENUE - PO BOX 7291
5921022,54520,126760,0.9888888835906983,ST MARY'S REGIONAL MEDICAL CENTER,ST MARYS REGIONAL MEDICAL CENTER,93 CAMPUS AVENUE - PO BOX 291,93 CAMPUS AVENUE - PO BOX 7291
7898742,53367,887160,0.9888888835906983,ST MARYS REGIONAL MEDICAL CENTER,ST MARY'S REGIONAL MEDICAL CENTER,1808 WEST MAIN STREET,305 SOUTH 5TH STREET
5920045,54520,238458,0.9888888835906983,ST MARY'S REGIONAL MEDICAL CENTER,ST MARYS REGIONAL MEDICAL CENTER,93 CAMPUS AVENUE - PO BOX 291,1808 WEST MAIN STREET
7786955,29656,416060,0.9888888835906983,ST LUKES REGIONAL MEDICAL CENTER,ST LUKE'S REGIONAL MEDICAL CENTER,2720 STONE PARK BOULEVARD,190 EAST BANNOCK STREET
10771948,82649,238458,0.9888888835906983,ST MARY'S REGIONAL MEDICAL CENTER,ST MARYS REGIONAL MEDICAL CENTER,305 SOUTH 5TH STREET,1808 WEST MAIN STREET
12748630,90213,752491,0.9888888796170553,ST ELIZABETHS HOSPITAL,ST ELIZABETH HOSPITAL,"1100 ALABAMA AVENUE, SE",1506 S ONEIDA ST
12746828,90213,179901,0.9888888796170553,ST ELIZABETHS HOSPITAL,ST ELIZABETH HOSPITAL,"1100 ALABAMA AVENUE, SE",211 S THIRD ST
1216745,42494,642561,0.9880952388048172,"PARKVIEW MEDICAL CENTER, INC",PARKVIEW MEDICAL CENTER INC,400 W 16TH ST,400 W 16TH STREET
10925406,62307,498827,0.9872727274894715,PEACEHEALTH ST JOHN MEDICAL CENTER,PEACHEALTH ST JOHN MEDICAL CENTER,1615 DELAWARE STREET,1615 DELAWARE STREET
3236908,35745,669245,0.9861111044883728,ST JOSEPH'S HOSPITAL,ST JOSEPHS HOSPITAL,1 AMALIA DRIVE,3001 W MARTIN LUTHER KING JR BLVD
4426285,66212,669245,0.9861111044883728,ST JOSEPH'S HOSPITAL,ST JOSEPHS HOSPITAL,12866 TROXLER AVENUE,3001 W MARTIN LUTHER KING JR BLVD
11745509,52793,883585,0.9861111044883728,ST JOSEPHS HOSPITAL,ST JOSEPH'S HOSPITAL,9515 HOLY CROSS LN,350 NORTH WILMOT ROAD
11746743,52793,644670,0.9861111044883728,ST JOSEPHS HOSPITAL,ST JOSEPH'S HOSPITAL,9515 HOLY CROSS LN,45 WEST 10TH STREET
8800624,38285,889538,0.9861111044883728,ST MARYS MEDICAL CENTER,ST MARY'S MEDICAL CENTER,2635 N 7TH ST,450 STANYAN ST
6508703,67452,621534,0.9861111044883728,JOHNSTON MEMORIAL HOSPITAL,JOHNSON MEMORIAL HOSPITAL,16000 JOHNSTON MEMORIAL DRIVE,1125 W JEFFERSON ST
12819342,81113,724057,0.9861111044883728,ST ANTHONY HOSPITAL,ST ANTHONYS HOSPITAL,2801 ST ANTHONY WAY,1200 SEVENTH AVE N
3237183,35745,888156,0.9861111044883728,ST JOSEPH'S HOSPITAL,ST JOSEPHS HOSPITAL,1 AMALIA DRIVE,9515 HOLY CROSS LN
