,Account_Num,Provider_Num,Similar Score,Facility Name,Provider Name,Address,Provider Street Address
5210069,33716,794014,1.0,MEMORIAL HOSPITAL,CLARENDON MEMORIAL HOSPITAL,1900 STATE ST,10 HOSPITAL ST BOX 550
5050102,78872,315381,1.0,MEMORIAL HOSPITAL,RICE MEMORIAL HOSPITAL,511 NE 10TH ST,301 BECKER AVE SW
9464827,81438,898115,1.0,MEMORIAL HOSPITAL,SLIDELL MEMORIAL HOSPITAL,1110 NORTH SARAH DEWITT DRIVE,1001 GAUSE BLVD
3999566,73276,645495,1.0,UNITED HOSPITAL,UNITED HOSPITAL SYSTEM,333 NORTH SMITH AVENUE,6308 EIGHTH AVE
9464832,81438,626426,1.0,MEMORIAL HOSPITAL,BEAUREGARD MEMORIAL HOSPITAL,1110 NORTH SARAH DEWITT DRIVE,600 S PINE STREET
14114079,89565,537741,1.0,REGIONAL MEDICAL CENTER,MEADOWS REGIONAL MEDICAL CENTER,709 W MAIN STREET,ONE MEADOWS PARKWAY
9464835,81438,819181,1.0,MEMORIAL HOSPITAL,LAKE CHARLES MEMORIAL HOSPITAL,1110 NORTH SARAH DEWITT DRIVE,1701 OAK PARK BLVD
14114085,89565,140236,1.0,REGIONAL MEDICAL CENTER,OCONEE REGIONAL MEDICAL CENTER,709 W MAIN STREET,821 N COBB STREET  POST OFFICE BOX 690
14114089,89565,463493,1.0,REGIONAL MEDICAL CENTER,SOUTHERN REGIONAL MEDICAL CENTER,709 W MAIN STREET,"11 UPPER RIVERDALE ROAD, SW"
9464839,81438,182030,1.0,MEMORIAL HOSPITAL,WEST CARROLL MEMORIAL HOSPITAL,1110 NORTH SARAH DEWITT DRIVE,706 ROSS STREET
13511199,58442,887160,1.0,ST MARY'S MEDICAL CENTER,ST MARY'S REGIONAL MEDICAL CENTER,201 NW R D MIZE RD,305 SOUTH 5TH STREET
14114090,89565,264448,1.0,REGIONAL MEDICAL CENTER,REDMOND REGIONAL MEDICAL CENTER,709 W MAIN STREET,501 REDMOND ROAD
5208756,33716,408449,1.0,MEMORIAL HOSPITAL,CLARK MEMORIAL HOSPITAL,1900 STATE ST,1220 MISSOURI AVE
9464881,81438,426188,1.0,MEMORIAL HOSPITAL,FRANKLIN MEMORIAL HOSPITAL,1110 NORTH SARAH DEWITT DRIVE,111 FRANKLIN HEALTH COMMONS
6831531,85872,540599,1.0,NORTHEAST REGIONAL MEDICAL CENTER,NORTHEAST ALABAMA REGIONAL MEDICAL CENTER,315 S OSTEOPATHY,400 EAST 10TH STREET
6310982,70854,733073,1.0,MEMORIAL HOSPITAL,ELIZA COFFEE MEMORIAL HOSPITAL,1454 N COUNTY ROAD 2050 E,205 MARENGO STREET
14114071,89565,446991,1.0,REGIONAL MEDICAL CENTER,COLQUITT REGIONAL MEDICAL CENTER,709 W MAIN STREET,3131 THOMASVILLE HWY BOX 40
14113998,89565,658892,1.0,REGIONAL MEDICAL CENTER,WELLINGTON REGIONAL MEDICAL CENTER,709 W MAIN STREET,10101 FOREST HILL BLVD
14114069,89565,536867,1.0,REGIONAL MEDICAL CENTER,TIFT REGIONAL MEDICAL CENTER,709 W MAIN STREET,901 E 18TH STREET
14114003,89565,854456,1.0,REGIONAL MEDICAL CENTER,PHYSICIANS REGIONAL MEDICAL CENTER - PINE RIDGE,709 W MAIN STREET,6101 PINE RIDGE ROAD
14114021,89565,470541,1.0,REGIONAL MEDICAL CENTER,UPSON REGIONAL MEDICAL CENTER,709 W MAIN STREET,801 W GORDON STREET
6846144,71440,743260,1.0,MEMORIAL HOSPITAL,STURDY MEMORIAL HOSPITAL,209 NORTHWEST 8TH STREET,211 PARK STREET
14114052,89565,772968,1.0,REGIONAL MEDICAL CENTER,CLEARVIEW  REGIONAL MEDICAL CENTER,709 W MAIN STREET,2151 WEST SPRING STREET
14114058,89565,410065,1.0,REGIONAL MEDICAL CENTER,PIEDMONT ATHENS REGIONAL MEDICAL CENTER,709 W MAIN STREET,1199 PRINCE AVENUE
14114059,89565,865696,1.0,REGIONAL MEDICAL CENTER,EAST GEORGIA REGIONAL MEDICAL CENTER,709 W MAIN STREET,1499 FAIR ROAD
14114065,89565,229383,1.0,REGIONAL MEDICAL CENTER,WASHINGTON COUNTY REGIONAL MEDICAL CENTER,709 W MAIN STREET,610 SPARTA ROAD
14114067,89565,421840,1.0,REGIONAL MEDICAL CENTER,COFFEE REGIONAL MEDICAL CENTER,709 W MAIN STREET,1101 OCILLA ROAD
14114116,89565,756436,1.0,REGIONAL MEDICAL CENTER,ST JOSEPH REGIONAL MEDICAL CENTER,709 W MAIN STREET,415 SIXTH STREET
14114117,89565,416060,1.0,REGIONAL MEDICAL CENTER,ST LUKE'S REGIONAL MEDICAL CENTER,709 W MAIN STREET,190 EAST BANNOCK STREET
9464883,81438,414446,1.0,MEMORIAL HOSPITAL,MAINE COAST MEMORIAL HOSPITAL,1110 NORTH SARAH DEWITT DRIVE,50 UNION STREET
9464889,81438,250081,1.0,MEMORIAL HOSPITAL,FREDERICK MEMORIAL HOSPITAL,1110 NORTH SARAH DEWITT DRIVE,400 WEST SEVENTH ST
4612929,83304,626426,1.0,MEMORIAL HOSPITAL,BEAUREGARD MEMORIAL HOSPITAL,1401 WEST LOCUST,600 S PINE STREET
4612932,83304,819181,1.0,MEMORIAL HOSPITAL,LAKE CHARLES MEMORIAL HOSPITAL,1401 WEST LOCUST,1701 OAK PARK BLVD
6846243,71440,524919,1.0,MEMORIAL HOSPITAL,OTSEGO MEMORIAL HOSPITAL,209 NORTHWEST 8TH STREET,825 N CENTER AVE
4612936,83304,182030,1.0,MEMORIAL HOSPITAL,WEST CARROLL MEMORIAL HOSPITAL,1401 WEST LOCUST,706 ROSS STREET
6846262,71440,362590,1.0,MEMORIAL HOSPITAL,CHIPPEWA COUNTY WAR MEMORIAL HOSPITAL,209 NORTHWEST 8TH STREET,500 OSBORN BLVD
6310996,70854,693188,1.0,MEMORIAL HOSPITAL,STRINGFELLOW MEMORIAL HOSPITAL,1454 N COUNTY ROAD 2050 E,301 EAST 18TH ST
9465003,81438,304226,1.0,MEMORIAL HOSPITAL,DICKINSON COUNTY MEMORIAL HOSPITAL,1110 NORTH SARAH DEWITT DRIVE,1721 S STEPHENSON AVE
5209459,33716,422272,1.0,MEMORIAL HOSPITAL,MEMORIAL HOSPITAL OF SALEM COUNTY,1900 STATE ST,310 WOODSTOWN ROAD
14114204,89565,894655,1.0,REGIONAL MEDICAL CENTER,HEARTLAND REGIONAL MEDICAL CENTER,709 W MAIN STREET,3333 W DE YOUNG
9465030,81438,524919,1.0,MEMORIAL HOSPITAL,OTSEGO MEMORIAL HOSPITAL,1110 NORTH SARAH DEWITT DRIVE,825 N CENTER AVE
6642589,44822,544885,1.0,COMMUNITY HOSPITAL,ST FRANCIS COMMUNITY HOSPITAL,901 MACARTHUR BLVD,34515 9TH AVENUE SOUTH
9464931,81438,743260,1.0,MEMORIAL HOSPITAL,STURDY MEMORIAL HOSPITAL,1110 NORTH SARAH DEWITT DRIVE,211 PARK STREET
