,Account_Num,Provider_Num,Similar Score,Facility Name,Provider Name,Address,Provider Street Address
2149418,50717,347401,1.0,MAYO CLINIC HLTH SYSTEM FRANCISCAN MED CTR,MAYO CLINIC HLTH SYSTEM  FRANCISCAN MED CTR,700 WEST AVENUE SOUTH,700 WEST AVENUE SOUTH
8800711,38285,515641,1.0,ST MARYS MEDICAL CENTER,ST MARYS  MEDICAL CENTER,2635 N 7TH ST,2635 N 7TH STREET
110287,73487,751124,0.9974084011761853,MEMORIAL HERMANN NORTHEAST HOSPITAL,MEMORIAL HERMANN NORTHEAST,18951 MEMORIAL NORTH,18951 MEMORIAL NORTH
962525,33176,811991,0.9965086420912361,MEDICAL CITY DALLAS,MEDICAL CITY DALLAS HOSPITAL,7777 FOREST LANE,7777 FOREST LANE
5932594,65254,509213,0.9964330800319183,CLEVELAND CLINIC HOSPITAL,CLEVELAND CLINIC,3100 WESTON RD,9500 EUCLID AVENUE
1710503,65489,752311,0.9964330800319183,CLEVELAND CLINIC,CLEVELAND CLINIC HOSPITAL,9500 EUCLID AVENUE,3100 WESTON RD
3263572,77076,449608,0.9962619476971363,NORTHRIDGE MEDICAL CENTER,NORTHRIDGE HOSPITAL MEDICAL CENTER,70 MEDICAL CENTER DRIVE,18300 ROSCOE BLVD
4510029,56087,824411,0.9962619476971363,NORTHRIDGE HOSPITAL MEDICAL CENTER,NORTHRIDGE MEDICAL CENTER,18300 ROSCOE BLVD,70 MEDICAL CENTER DRIVE
7080228,52170,833198,0.9958240477271415,GOOD SAMARITAN HOSPITAL MEDICAL CENTER,GOOD SAMARITAN MEDICAL CENTER,1000 MONTAUK HIGHWAY,1309 N FLAGLER DR
8909893,31499,770840,0.9958240477271415,GOOD SAMARITAN MEDICAL CENTER,GOOD SAMARITAN HOSPITAL MEDICAL CENTER,235 NORTH PEARL STREET,1000 MONTAUK HIGHWAY
5182639,78547,770840,0.9958240477271415,GOOD SAMARITAN MEDICAL CENTER,GOOD SAMARITAN HOSPITAL MEDICAL CENTER,200 EXEMPLA CIRCLE,1000 MONTAUK HIGHWAY
9020470,45997,770840,0.9958240477271415,GOOD SAMARITAN MEDICAL CENTER,GOOD SAMARITAN HOSPITAL MEDICAL CENTER,1309 N FLAGLER DR,1000 MONTAUK HIGHWAY
7080044,52170,392360,0.9958240477271415,GOOD SAMARITAN HOSPITAL MEDICAL CENTER,GOOD SAMARITAN MEDICAL CENTER,1000 MONTAUK HIGHWAY,200 EXEMPLA CIRCLE
7080824,52170,683779,0.9958240477271415,GOOD SAMARITAN HOSPITAL MEDICAL CENTER,GOOD SAMARITAN MEDICAL CENTER,1000 MONTAUK HIGHWAY,235 NORTH PEARL STREET
7913099,37811,395546,0.9957569995917755,MAYO CLINIC,MAYO CLINIC HOSPITAL,4500 SAN PABLO RD,5777 EAST MAYO BOULEVARD
9607255,61552,574503,0.9957569995917755,MAYO CLINIC HOSPITAL,MAYO CLINIC,5777 EAST MAYO BOULEVARD,4500 SAN PABLO RD
10220592,52093,778470,0.9940180511478908,CONEY ISLAND HOSPITAL CENTER,CONEY ISLAND HOSPITAL,2601 OCEAN PARKWAY,2601 OCEAN PARKWAY
7963209,34530,779386,0.9881308490013633,BELLEVUE HOSPITAL,BELLEVUE HOSPITAL CENTER,1400 WEST MAIN STREET,462 FIRST AVENUE
12022390,10344,221304,0.9881308490013633,BELLEVUE HOSPITAL CENTER,BELLEVUE HOSPITAL,462 FIRST AVENUE,1400 WEST MAIN STREET
3538108,56284,556817,0.9861912533447307,CHRISTUS SANTA ROSA MEDICAL CENTER,CHRISTUS SANTA ROSA HOSPITAL,2827 BABCOCK ROAD,333 NORTH SANTA ROSA STEET
12176827,23359,897391,0.9855013399227751,VALLEY HOSPITAL MEDICAL CENTER,VALLEY MEDICAL CENTER,620 SHADOW LANE,400 S 43RD ST
462664,65425,457265,0.9855013399227751,VALLEY MEDICAL CENTER,VALLEY HOSPITAL MEDICAL CENTER,400 S 43RD ST,620 SHADOW LANE
13079752,71151,266378,0.9832658148975696,ELLWOOD CITY MEDICAL CENTER,ELLWOOD CITY HOSPITAL,724 PERSHING STREET,724 PERSHING STREET
303729,36786,779386,0.9829561131417726,BELLEVUE MEDICAL CENTER,BELLEVUE HOSPITAL CENTER,2500 BELLEVUE MEDICAL CENTER DR,462 FIRST AVENUE
12021996,10344,533240,0.9829561131417726,BELLEVUE HOSPITAL CENTER,BELLEVUE MEDICAL CENTER,462 FIRST AVENUE,2500 BELLEVUE MEDICAL CENTER DR
1565558,14620,404608,0.9825523442349199,UNITED HOSPITAL CENTER,UNITED HOSPITAL,327 MEDICAL PARK DRIVE,333 NORTH SMITH AVENUE
3999535,73276,160563,0.9825523442349199,UNITED HOSPITAL,UNITED HOSPITAL CENTER,333 NORTH SMITH AVENUE,327 MEDICAL PARK DRIVE
2776242,30684,516351,0.9824245716296907,THREE RIVERS HOSPITAL,THREE RIVERS MEDICAL CENTER,507 HOSPITAL WAY,2485 HIGHWAY 644
9211284,17243,516351,0.9824245716296907,THREE RIVERS HOSPITAL,THREE RIVERS MEDICAL CENTER,451 HIGHWAY 13 SOUTH,2485 HIGHWAY 644
4738466,52750,447547,0.9795849709367264,NORTHWEST HOSPITAL CENTER,NORTHWEST HOSPITAL,5401 OLD COURT ROAD,1550 NORTH 115TH STREET
3309699,39609,783824,0.9788294957545634,MOUNT SINAI HOSPITAL,MOUNT SINAI MEDICAL CENTER,ONE GUSTAVE L LEVY PLACE,4300 ALTON RD
2248193,19508,394203,0.9788294957545634,MOUNT SINAI MEDICAL CENTER,MOUNT SINAI HOSPITAL,4300 ALTON RD,ONE GUSTAVE L LEVY PLACE
10786911,15080,675541,0.978368000581642,LAWRENCE MEDICAL CENTER,LAWRENCE HOSPITAL CENTER,202 HOSPITAL STREET,55 PALMER AVENUE
284305,62300,633190,0.9781571224128631,SAINT AGNES MEDICAL CENTER,SAINT AGNES HOSPITAL,1303 E HERNDON AVE,900 CATON AVENUE
13498675,67297,281273,0.9781571224128631,SAINT AGNES HOSPITAL,SAINT AGNES MEDICAL CENTER,900 CATON AVENUE,1303 E HERNDON AVE
6334842,77582,466083,0.9779318172306536,PROVIDENCE HEALTH,PROVIDENCE HEALTH CENTER,120 GATEWAY CORPORATE BLVD,6901 MEDICAL PARKWAY
