,Account_Num,Provider_Num,Similar Score,Facility Name,Provider Name,Address,Provider Street Address
8800711,38285,515641,1.0,ST MARYS MEDICAL CENTER,ST MARYS  MEDICAL CENTER,2635 N 7TH ST,2635 N 7TH STREET
2149418,50717,347401,1.0,MAYO CLINIC HLTH SYSTEM FRANCISCAN MED CTR,MAYO CLINIC HLTH SYSTEM  FRANCISCAN MED CTR,700 WEST AVENUE SOUTH,700 WEST AVENUE SOUTH
10220592,52093,778470,0.9999997092668603,CONEY ISLAND HOSPITAL CENTER,CONEY ISLAND HOSPITAL,2601 OCEAN PARKWAY,2601 OCEAN PARKWAY
3263572,77076,449608,0.9999995226995518,NORTHRIDGE MEDICAL CENTER,NORTHRIDGE HOSPITAL MEDICAL CENTER,70 MEDICAL CENTER DRIVE,18300 ROSCOE BLVD
4510029,56087,824411,0.9999995226995518,NORTHRIDGE HOSPITAL MEDICAL CENTER,NORTHRIDGE MEDICAL CENTER,18300 ROSCOE BLVD,70 MEDICAL CENTER DRIVE
13079752,71151,266378,0.9999992603045286,ELLWOOD CITY MEDICAL CENTER,ELLWOOD CITY HOSPITAL,724 PERSHING STREET,724 PERSHING STREET
8583334,91370,410425,0.9999983344378343,MOUNTAINVIEW MEDICAL CENTER,MOUNTAINVIEW HOSPITAL,16 W MAIN ST,3100 N TENAYA WAY
15936,48460,847245,0.9999983344378343,INTERMOUNTAIN HOSPITAL,INTERMOUNTAIN MEDICAL CENTER,303 NORTH ALLUMBAUGH STREET,5121 SOUTH COTTONWOOD STREET
5274827,83610,265314,0.9999978627916767,REGIONAL HEALTH RAPID CITY HOSPITAL,RAPID CITY REGIONAL HOSPITAL,353 FAIRMONT BLVD  POST OFFICE BOX 6000,353 FAIRMONT BLVD  POST OFFICE BOX 6000
110287,73487,751124,0.9999975492297479,MEMORIAL HERMANN NORTHEAST HOSPITAL,MEMORIAL HERMANN NORTHEAST,18951 MEMORIAL NORTH,18951 MEMORIAL NORTH
12022390,10344,221304,0.9999973596827771,BELLEVUE HOSPITAL CENTER,BELLEVUE HOSPITAL,462 FIRST AVENUE,1400 WEST MAIN STREET
7963209,34530,779386,0.9999973596827771,BELLEVUE HOSPITAL,BELLEVUE HOSPITAL CENTER,1400 WEST MAIN STREET,462 FIRST AVENUE
14379810,26157,614010,0.9999967378476269,JENNERSVILLE HOSPITAL,JENNERSVILLE REGIONAL HOSPITAL,1015 WEST BALTIMORE PIKE,1015 WEST BALTIMORE PIKE
5858347,12160,200346,0.9999966126939893,ORLANDO HEALTH ORLANDO REGIONAL MEDICAL CENTER,ORLANDO HEALTH,52 W UNDERWOOD ST,52 W UNDERWOOD ST
13720463,88381,453933,0.9999965540018355,ROCKFORD CENTER,ROCKFORD MEMORIAL HOSPITAL,100 ROCKFORD DRIVE,2400 NORTH ROCKTON AVENUE
13940157,77499,630136,0.9999962264511555,POTTSTOWN HOSPITAL,POTTSTOWN MEMORIAL MEDICAL CENTER,1600 EAST HIGH STREET,1600 EAST HIGH STREET AND ARMAND HAMMER BLVD
303729,36786,779386,0.999995978110214,BELLEVUE MEDICAL CENTER,BELLEVUE HOSPITAL CENTER,2500 BELLEVUE MEDICAL CENTER DR,462 FIRST AVENUE
12021996,10344,533240,0.999995978110214,BELLEVUE HOSPITAL CENTER,BELLEVUE MEDICAL CENTER,462 FIRST AVENUE,2500 BELLEVUE MEDICAL CENTER DR
5015151,67995,495343,0.9999953734552726,LIBERTY MEDICAL CENTER,LIBERTY HOSPITAL,315 W MADISON AVE,2525 GLENN HENDREN DR
962525,33176,811991,0.9999951136206179,MEDICAL CITY DALLAS,MEDICAL CITY DALLAS HOSPITAL,7777 FOREST LANE,7777 FOREST LANE
12720168,22312,250081,0.9999948278765772,FREDERICK HEALTH HOSPITAL,FREDERICK MEMORIAL HOSPITAL,400 WEST SEVENTH ST,400 WEST SEVENTH ST
10043643,64294,375350,0.999994479702498,ANDALUSIA HEALTH,ANDALUSIA REGIONAL HOSPITAL,849 SOUTH THREE NOTCH STREET,849 SOUTH THREE NOTCH STREET
1710503,65489,752311,0.9999944048417828,CLEVELAND CLINIC,CLEVELAND CLINIC HOSPITAL,9500 EUCLID AVENUE,3100 WESTON RD
