,Account_Num,Provider_Num,Similar Score,Facility Name,Provider Name,Address,Provider Street Address
12789797,16540,697721,1,ST MARK'S HOSPITAL,ST MARY'S HOSPITAL,1200 EAST 3900 SOUTH,1230 BAXTER STREET
9786513,30412,181943,1,TRINITY HOSPITAL,TRINITY HOSPITALS,60 EASTER AVENUE,407 3RD ST SE
4961584,50031,847046,1,ESSENTIA HEALTH FARGO,ESSENTIA HEALTH-FARGO,3000 32ND AVE SOUTH,3000 32ND AVE SOUTH
4406756,92950,239181,1,GARRISON MEMORIAL HOSPITAL,HARRISON MEMORIAL HOSPITAL,407 3RD AVE SE,2520 CHERRY AVENUE
1833829,61153,600260,1,OLYMPIA MEDICAL CENTER,OLYMPIC MEDICAL CENTER,5900 WEST OLYMPIC BOULEVARD,939 CAROLINE ST
10191722,81136,239680,1,ST MARY'S HOSPITAL,ST MARK'S HOSPITAL,701 LEWISTON ST,1200 EAST 3900 SOUTH
9852160,40590,587468,1,MARIAN REGIONAL MEDICAL CENTER,MARION REGIONAL MEDICAL CENTER,1400 E CHURCH ST,1256 MILITARY STREET SOUTH
2662310,22288,661410,1,OLYMPIC MEDICAL CENTER,OLYMPIA MEDICAL CENTER,939 CAROLINE ST,5900 WEST OLYMPIC BOULEVARD
13355437,49514,121597,1,DAVIE MEDICAL CENTER,DAVIS MEDICAL CENTER,223 HOSPITAL STREET,812 GORMAN AVENUE
10071003,80935,727521,1,CENTURA HEALTH-PENROSE-ST FRANCIS HEALTH SERVICES,CENTURA HEALTH-PENROSE ST FRANCIS HEALTH SERVICES,2222 NORTH NEVADA AVE,2222 N NEVADA AVE
13586586,42407,181943,1,TRINITY HOSPITAL,TRINITY HOSPITALS,315 KNAPP ST,407 3RD ST SE
7271309,20607,778177,1,MARION REGIONAL MEDICAL CENTER,MARIAN REGIONAL MEDICAL CENTER,1256 MILITARY STREET SOUTH,1400 E CHURCH ST
6084191,78297,239680,1,ST MARY'S HOSPITAL,ST MARK'S HOSPITAL,1230 BAXTER STREET,1200 EAST 3900 SOUTH
4319429,36262,316002,1,SHARE MEDICAL CENTER,SHORE MEDICAL CENTER,800 SHARE DRIVE,100 MEDICAL CENTER WAY
9702203,77853,747928,1,OCHSNER MEDICAL CENTER-KENNER,OCHSNER MEDICAL CENTER KENNER,180 WEST ESPLANADE AVENUE,180 WEST ESPLANADE AVENUE
8802981,38285,363668,1,ST MARYS MEDICAL CENTER,ST MARKS MEDICAL CENTER,2635 N 7TH ST,ONE ST MARK'S PLACE
3240694,42921,356384,2,NORTHSIDE HOSPITAL,SOUTHSIDE HOSPITAL,6000 49TH ST N,301 EAST MAIN STREET
6087529,46092,515641,2,ST MARY'S MEDICAL CENTER,ST MARYS  MEDICAL CENTER,901 45TH ST,2635 N 7TH STREET
1090222,66324,119265,2,ELLETT MEMORIAL HOSPITAL,ELBERT MEMORIAL HOSPITAL,610 N OHIO AVE,4 MEDICAL DRIVE
4021967,43091,397580,2,CJW MEDICAL CENTER,CGH MEDICAL CENTER,7101 JAHNKE ROAD,100 EAST LEFEVRE ROAD
14112918,46609,815458,2,GEARY COMMUNITY HOSPITAL,PERRY COMMUNITY HOSPITAL,1102 ST MARY'S ROAD,2718 SQUIRREL HOLLOW DRIVE
10176829,40136,600145,2,CARE REGIONAL MEDICAL CENTER,LANE REGIONAL MEDICAL CENTER,1711 W WHEELER AVENUE,6300 MAIN STREET
7829317,43063,212688,2,BELOIT MEMORIAL HOSPITAL,BELLIN MEMORIAL HOSPITAL,1969 W HART RD,744 S WEBSTER AVE
4343156,91848,282191,2,HARMON MEMORIAL HOSPITAL,HARDIN MEMORIAL HOSPITAL,400 EAST CHESTNUT STREET,913 NORTH DIXIE AVENUE
3902652,79635,460859,2,SOUTHWEST MEDICAL CENTER,NORTHWEST MEDICAL CENTER,315 WEST 15TH STREET,6200 NORTH LA CHOLLA BOULEVARD
3193526,31437,309175,2,RICHLAND HOSPITAL,HIGHLAND HOSPITAL,333 E SECOND ST,1411 E 31ST STREET
14024806,94234,731274,2,RICE MEDICAL CENTER,ROSE MEDICAL CENTER,600 SOUTH AUSTIN ROAD,4567 E 9TH AVENUE
3194893,31437,301080,2,RICHLAND HOSPITAL,HIGHLAND HOSPITAL,333 E SECOND ST,1000 SOUTH AVENUE
12053602,84712,724884,2,WILSON MEMORIAL HOSPITAL,WILCOX MEMORIAL HOSPITAL,915 WEST MICHIGAN STREET,3-3420 KUHIO HIGHWAY
6756616,56185,515652,2,MORTON HOSPITAL,GORDON HOSPITAL,88 WASHINGTON STREET,1035 RED BUD ROAD
10079374,12163,886685,2,MERCY HOSPITAL,PERRY HOSPITAL,500 E MARKET STREET,1120 MORNINGSIDE DR
11637257,35551,152094,2,WADLEY REGIONAL MEDICAL CENTER,VALLEY REGIONAL MEDICAL CENTER,1000 PINE STREET,100 A ALTON GLOOR
314584,63052,682195,2,HAMPTON REGIONAL MEDICAL CENTER,SAMPSON REGIONAL MEDICAL CENTER,595 WEST CAROLINA AVENUE,607 BEAMAN ST
11437945,65929,159781,2,SHERIDAN MEMORIAL HOSPTIAL,SHERIDAN MEMORIAL HOSPITAL,440 W LAUREL AVE,1401 W 5TH ST
895338,28707,683494,2,HORN MEMORIAL HOSPITAL,FORT MEMORIAL HOSPITAL,701 E 2ND ST,611 SHERMAN AVE E
9430820,84473,734449,2,ST CLARE HOSPITAL,ST CLAIR HOSPITAL,11315 BRIDGEPORT WAY S W,1000 BOWER HILL ROAD
3902593,79635,273713,2,SOUTHWEST MEDICAL CENTER,NORTHWEST MEDICAL CENTER,315 WEST 15TH STREET,1530 U S HIGHWAY 43
6011081,55735,357669,2,SAMPSON REGIONAL MEDICAL CENTER,HAMPTON REGIONAL MEDICAL CENTER,607 BEAMAN ST,595 WEST CAROLINA AVENUE
2322064,66238,624452,2,BELLIN MEMORIAL HOSPITAL,BELOIT MEMORIAL HOSPITAL,744 S WEBSTER AVE,1969 W HART RD
3681891,12867,661136,2,HARDIN MEDICAL CENTER,MARTIN MEDICAL CENTER,935 WAYNE ROAD,200 SE HOSPITAL AVE
8675334,65913,496518,2,PARIS REGIONAL MEDICAL CENTER,DAVIS REGIONAL MEDICAL CENTER,820 CLARKSVILLE ST,218 OLD MOCKSBVILLE RD PO BOX 1823
2863373,21743,711105,2,REGINA HOSPITAL,MEDINA HOSPITAL,1175 NININGER ROAD,1000 EAST WASHINGTON STREET
13785539,32191,377967,2,NORTH SHORE MEDICAL CENTER,NORTH SHORE MEDICAL CENTER -,1100 NW 95TH ST,81 HIGHLAND AVENUE
12863771,20906,423029,2,MARION GENERAL HOSPITAL,MARTIN GENERAL HOSPITAL,1560 SUMRALL RD,310 S MCCASKEY RD P O BOX 1128
6295484,31225,651811,2,SOUTHSIDE HOSPITAL,NORTHSIDE HOSPITAL,301 EAST MAIN STREET,"1000 JOHNSON FERRY ROAD, NE"
5141580,11018,453781,2,PERRY HOSPITAL,MERCY HOSPITAL,1120 MORNINGSIDE DR,144 STATE STREET
