,Account_Num,Provider_Num,Similar Score,Facility Name,Provider Name,Address,Provider Street Address
10772925,82649,126760,0.98989898989899,ST MARY'S REGIONAL MEDICAL CENTER,ST MARYS REGIONAL MEDICAL CENTER,305 SOUTH 5TH STREET,93 CAMPUS AVENUE - PO BOX 7291
10764670,77747,334333,0.98989898989899,ST LUKE'S REGIONAL MEDICAL CENTER,ST LUKES REGIONAL MEDICAL CENTER,190 EAST BANNOCK STREET,2720 STONE PARK BOULEVARD
10771948,82649,238458,0.98989898989899,ST MARY'S REGIONAL MEDICAL CENTER,ST MARYS REGIONAL MEDICAL CENTER,305 SOUTH 5TH STREET,1808 WEST MAIN STREET
5920045,54520,238458,0.98989898989899,ST MARY'S REGIONAL MEDICAL CENTER,ST MARYS REGIONAL MEDICAL CENTER,93 CAMPUS AVENUE - PO BOX 291,1808 WEST MAIN STREET
5921022,54520,126760,0.98989898989899,ST MARY'S REGIONAL MEDICAL CENTER,ST MARYS REGIONAL MEDICAL CENTER,93 CAMPUS AVENUE - PO BOX 291,93 CAMPUS AVENUE - PO BOX 7291
7898742,53367,887160,0.98989898989899,ST MARYS REGIONAL MEDICAL CENTER,ST MARY'S REGIONAL MEDICAL CENTER,1808 WEST MAIN STREET,305 SOUTH 5TH STREET
7786955,29656,416060,0.98989898989899,ST LUKES REGIONAL MEDICAL CENTER,ST LUKE'S REGIONAL MEDICAL CENTER,2720 STONE PARK BOULEVARD,190 EAST BANNOCK STREET
8838590,88680,337799,0.9888888888888889,DOCTORS MEMORIAL HOSPITAL INC,DOCTOR'S MEMORIAL HOSPITAL INC,333 N BYRON BUTLER PKWY,333 N BYRON BUTLER PKWY
1216745,42494,642561,0.9880952380952381,"PARKVIEW MEDICAL CENTER, INC",PARKVIEW MEDICAL CENTER INC,400 W 16TH ST,400 W 16TH STREET
5337160,93765,717038,0.9871794871794872,JOHNSON MEMORIAL HOSPITAL,JOHNSTON MEMORIAL HOSPITAL,201 CHESTNUT HILL ROAD,16000 JOHNSTON MEMORIAL DRIVE
11437945,65929,159781,0.9871794871794872,SHERIDAN MEMORIAL HOSPTIAL,SHERIDAN MEMORIAL HOSPITAL,440 W LAUREL AVE,1401 W 5TH ST
4671001,93047,717038,0.9871794871794872,JOHNSON MEMORIAL HOSPITAL,JOHNSTON MEMORIAL HOSPITAL,1125 W JEFFERSON ST,16000 JOHNSTON MEMORIAL DRIVE
11591503,39567,717038,0.9871794871794872,JOHNSON MEMORIAL HOSPITAL,JOHNSTON MEMORIAL HOSPITAL,1282 WALNUT STREET,16000 JOHNSTON MEMORIAL DRIVE
6508703,67452,621534,0.9871794871794872,JOHNSTON MEMORIAL HOSPITAL,JOHNSON MEMORIAL HOSPITAL,16000 JOHNSTON MEMORIAL DRIVE,1125 W JEFFERSON ST
6508288,67452,657875,0.9871794871794872,JOHNSTON MEMORIAL HOSPITAL,JOHNSON MEMORIAL HOSPITAL,16000 JOHNSTON MEMORIAL DRIVE,201 CHESTNUT HILL ROAD
8801202,38285,598490,0.9861111111111112,ST MARYS MEDICAL CENTER,ST MARY'S MEDICAL CENTER,2635 N 7TH ST,3700 WASHINGTON AVE
8801746,38285,815904,0.9861111111111112,ST MARYS MEDICAL CENTER,ST MARY'S MEDICAL CENTER,2635 N 7TH ST,201 NW R D MIZE RD
8800624,38285,889538,0.9861111111111112,ST MARYS MEDICAL CENTER,ST MARY'S MEDICAL CENTER,2635 N 7TH ST,450 STANYAN ST
8800915,38285,402102,0.9861111111111112,ST MARYS MEDICAL CENTER,ST MARY'S MEDICAL CENTER,2635 N 7TH ST,901 45TH ST
8802893,38285,177880,0.9861111111111112,ST MARYS MEDICAL CENTER,ST MARY'S MEDICAL CENTER,2635 N 7TH ST,2900 1ST AVENUE
8800583,38285,580335,0.9855072463768115,ST MARYS MEDICAL CENTER,ST MARY MEDICAL CENTER,2635 N 7TH ST,18300 HIGHWAY 18
6687729,29752,633550,0.9855072463768115,ST JOHNS MEDICAL CENTER,ST JOHN MEDICAL CENTER,625 EAST BROADWAY,29000 CENTER RIDGE ROAD
8800543,38285,213184,0.9855072463768115,ST MARYS MEDICAL CENTER,ST MARY MEDICAL CENTER,2635 N 7TH ST,1050 LINDEN AVE
8802424,38285,740900,0.9855072463768115,ST MARYS MEDICAL CENTER,ST MARY MEDICAL CENTER,2635 N 7TH ST,LANGHORNE-NEWTOWN RD
12862285,20906,891943,0.9855072463768115,MARION GENERAL HOSPITAL,MARIN GENERAL HOSPITAL,1560 SUMRALL RD,"250 BON AIR ROAD, PO BOX 8010"
4382917,19595,891943,0.9855072463768115,MARION GENERAL HOSPITAL,MARIN GENERAL HOSPITAL,1000 MCKINLEY PARK DRIVE,"250 BON AIR ROAD, PO BOX 8010"
6594457,51390,891943,0.9855072463768115,MARION GENERAL HOSPITAL,MARIN GENERAL HOSPITAL,441 N WABASH AVE,"250 BON AIR ROAD, PO BOX 8010"
7845214,33868,639064,0.9855072463768115,HEDRICK MEDICAL CENTER,HENDRICK MEDICAL CENTER,2799 NORTH WASHINGTON STREET,1900 PINE
8801062,38285,353834,0.9855072463768115,ST MARYS MEDICAL CENTER,ST MARY MEDICAL CENTER,2635 N 7TH ST,3333 NORTH SEMINARY
4547434,73530,891943,0.9855072463768115,MARTIN GENERAL HOSPITAL,MARIN GENERAL HOSPITAL,310 S MCCASKEY RD P O BOX 1128,"250 BON AIR ROAD, PO BOX 8010"
7738124,60014,179684,0.9841269841269842,SAINT MARY'S HOSPITAL,SAINT MARYS HOSPITAL,56 FRANKLIN STEET,56 FRANKLIN ST
10583811,77309,888156,0.9833333333333334,ST JOSEPH'S HOSPITAL,ST JOSEPHS HOSPITAL,350 NORTH WILMOT ROAD,9515 HOLY CROSS LN
11746743,52793,644670,0.9833333333333334,ST JOSEPHS HOSPITAL,ST JOSEPH'S HOSPITAL,9515 HOLY CROSS LN,45 WEST 10TH STREET
9575133,38720,888156,0.9833333333333334,ST JOSEPH'S HOSPITAL,ST JOSEPHS HOSPITAL,555 ST JOSEPH'S BLVD,9515 HOLY CROSS LN
4734543,59862,644670,0.9833333333333334,ST JOSEPHS HOSPITAL,ST JOSEPH'S HOSPITAL,2661 COUNTY HWY I,45 WEST 10TH STREET
11745509,52793,883585,0.9833333333333334,ST JOSEPHS HOSPITAL,ST JOSEPH'S HOSPITAL,9515 HOLY CROSS LN,350 NORTH WILMOT ROAD
3236908,35745,669245,0.9833333333333334,ST JOSEPH'S HOSPITAL,ST JOSEPHS HOSPITAL,1 AMALIA DRIVE,3001 W MARTIN LUTHER KING JR BLVD
102994,66907,669245,0.9833333333333334,ST JOSEPH'S HOSPITAL,ST JOSEPHS HOSPITAL,45 WEST 10TH STREET,3001 W MARTIN LUTHER KING JR BLVD
2408495,23623,883585,0.9833333333333334,ST JOSEPHS HOSPITAL,ST JOSEPH'S HOSPITAL,3001 W MARTIN LUTHER KING JR BLVD,350 NORTH WILMOT ROAD
3237183,35745,888156,0.9833333333333334,ST JOSEPH'S HOSPITAL,ST JOSEPHS HOSPITAL,1 AMALIA DRIVE,9515 HOLY CROSS LN
9574858,38720,669245,0.9833333333333334,ST JOSEPH'S HOSPITAL,ST JOSEPHS HOSPITAL,555 ST JOSEPH'S BLVD,3001 W MARTIN LUTHER KING JR BLVD
4426560,66212,888156,0.9833333333333334,ST JOSEPH'S HOSPITAL,ST JOSEPHS HOSPITAL,12866 TROXLER AVENUE,9515 HOLY CROSS LN
4733309,59862,883585,0.9833333333333334,ST JOSEPHS HOSPITAL,ST JOSEPH'S HOSPITAL,2661 COUNTY HWY I,350 NORTH WILMOT ROAD
10583536,77309,669245,0.9833333333333334,ST JOSEPH'S HOSPITAL,ST JOSEPHS HOSPITAL,350 NORTH WILMOT ROAD,3001 W MARTIN LUTHER KING JR BLVD
103269,66907,888156,0.9833333333333334,ST JOSEPH'S HOSPITAL,ST JOSEPHS HOSPITAL,45 WEST 10TH STREET,9515 HOLY CROSS LN
4426285,66212,669245,0.9833333333333334,ST JOSEPH'S HOSPITAL,ST JOSEPHS HOSPITAL,12866 TROXLER AVENUE,3001 W MARTIN LUTHER KING JR BLVD
2409729,23623,644670,0.9833333333333334,ST JOSEPHS HOSPITAL,ST JOSEPH'S HOSPITAL,3001 W MARTIN LUTHER KING JR BLVD,45 WEST 10TH STREET
13083770,21611,697721,0.9824561403508771,ST. MARY'S HOSPITAL,ST MARY'S HOSPITAL,1601 WEST ST MARY'S ROAD,1230 BAXTER STREET
11682312,38636,302660,0.9824561403508771,ST PETERS HOSPITAL,ST PETER'S HOSPITAL,2475 BROADWAY,315 SOUTH MANNING BOULEVARD
10189339,81136,200630,0.9824561403508771,ST MARY'S HOSPITAL,ST. MARY'S HOSPITAL,701 LEWISTON ST,1601 WEST ST MARY'S ROAD
6081808,78297,200630,0.9824561403508771,ST MARY'S HOSPITAL,ST. MARY'S HOSPITAL,1230 BAXTER STREET,1601 WEST ST MARY'S ROAD
11682147,38636,755190,0.9824561403508771,ST PETERS HOSPITAL,ST PETER'S HOSPITAL,2475 BROADWAY,2475 BROADWAY
1263498,27073,556301,0.9814814814814815,ST LUKE'S HOSPITAL,ST LUKES HOSPITAL,5901 MONCLOVA ROAD,915 EAST 1ST STREET
6082528,78297,545880,0.9814814814814815,ST MARY'S HOSPITAL,ST MARYS HOSPITAL,1230 BAXTER STREET,1800 E LAKE SHORE DR
3518190,48917,556301,0.9814814814814815,ST LUKE'S HOSPITAL,ST LUKES HOSPITAL,702 1ST ST SW,915 EAST 1ST STREET
10190059,81136,545880,0.9814814814814815,ST MARY'S HOSPITAL,ST MARYS HOSPITAL,701 LEWISTON ST,1800 E LAKE SHORE DR
3518317,48917,218382,0.9814814814814815,ST LUKE'S HOSPITAL,ST LUKES HOSPITAL,702 1ST ST SW,232 S WOODS MILL RD
1263625,27073,218382,0.9814814814814815,ST LUKE'S HOSPITAL,ST LUKES HOSPITAL,5901 MONCLOVA ROAD,232 S WOODS MILL RD
1263120,27073,457822,0.9814814814814815,ST LUKE'S HOSPITAL,ST LUKES HOSPITAL,5901 MONCLOVA ROAD,1026 A AVE NE
5355400,62446,101172,0.9814814814814815,ST LUKES HOSPITAL,ST LUKE'S HOSPITAL,101 HOSPITAL DRIVE,5901 MONCLOVA ROAD
10745471,84764,697721,0.9814814814814815,ST MARYS HOSPITAL,ST MARY'S HOSPITAL,1800 E LAKE SHORE DR,1230 BAXTER STREET
6666142,63329,101172,0.9814814814814815,ST LUKES HOSPITAL,ST LUKE'S HOSPITAL,1026 A AVE NE,5901 MONCLOVA ROAD
9077260,12758,101172,0.9814814814814815,ST LUKES HOSPITAL,ST LUKE'S HOSPITAL,232 S WOODS MILL RD,5901 MONCLOVA ROAD
4449208,43982,101172,0.9814814814814815,ST LUKES HOSPITAL,ST LUKE'S HOSPITAL,915 EAST 1ST STREET,5901 MONCLOVA ROAD
3517812,48917,457822,0.9814814814814815,ST LUKE'S HOSPITAL,ST LUKES HOSPITAL,702 1ST ST SW,1026 A AVE NE
6922017,90169,220055,0.980952380952381,ST JOSEPH REGIONAL MEDICAL CENTER,ST JOSEPH'S REGIONAL MEDICAL CENTER,415 SIXTH STREET,703 MAIN ST
9786513,30412,181943,0.9803921568627452,TRINITY HOSPITAL,TRINITY HOSPITALS,60 EASTER AVENUE,407 3RD ST SE
13586586,42407,181943,0.9803921568627452,TRINITY HOSPITAL,TRINITY HOSPITALS,315 KNAPP ST,407 3RD ST SE
2732494,77825,251169,0.9791666666666666,GREENWICH HOSPITAL ASSOCIATION -,GREENWICH HOSPITAL ASSOCIATION,5 PERRYRIDGE RD,5 PERRYRIDGE RD
9702203,77853,747928,0.9770114942528737,OCHSNER MEDICAL CENTER-KENNER,OCHSNER MEDICAL CENTER KENNER,180 WEST ESPLANADE AVENUE,180 WEST ESPLANADE AVENUE
10417502,65342,431232,0.9770114942528735,ST ELIZABETH'S MEDICAL CENTER,ST ELIZABETH MEDICAL CENTER,736 CAMBRIDGE STREET,2209 GENESEE STREET
5222565,84155,233934,0.9770114942528735,ST ELIZABETH MEDICAL CENTER,ST ELIZABETH'S MEDICAL CENTER,1200 GRANT BLVD W,736 CAMBRIDGE STREET
13674963,13896,233934,0.9770114942528735,ST ELIZABETH MEDICAL CENTER,ST ELIZABETH'S MEDICAL CENTER,2209 GENESEE STREET,736 CAMBRIDGE STREET
13329051,56290,351238,0.9761904761904763,NORTH SHORE MEDICAL CENTER -,NORTH SHORE MEDICAL CENTER,81 HIGHLAND AVENUE,1100 NW 95TH ST
13785539,32191,377967,0.9761904761904763,NORTH SHORE MEDICAL CENTER,NORTH SHORE MEDICAL CENTER -,1100 NW 95TH ST,81 HIGHLAND AVENUE
12336869,22744,157090,0.9743589743589745,ST JOSEPH'S MEDICAL CENTER,ST JOSEPH MEDICAL CENTER,127 SOUTH BROADWAY,2200 E WASHINGTON
12338122,22744,518911,0.9743589743589745,ST JOSEPH'S MEDICAL CENTER,ST JOSEPH MEDICAL CENTER,127 SOUTH BROADWAY,2500 BERNVILLE ROAD
128344,49078,869090,0.9743589743589745,ST JOSEPH MEDICAL CENTER,ST JOSEPH'S MEDICAL CENTER,2500 BERNVILLE ROAD,127 SOUTH BROADWAY
12337485,22744,375739,0.9743589743589745,ST JOSEPH'S MEDICAL CENTER,ST JOSEPH MEDICAL CENTER,127 SOUTH BROADWAY,1000 CARONDELET DR
6452809,38360,869090,0.9743589743589745,ST JOSEPH MEDICAL CENTER,ST JOSEPH'S MEDICAL CENTER,1000 CARONDELET DR,127 SOUTH BROADWAY
12338360,22744,125102,0.9743589743589745,ST JOSEPH'S MEDICAL CENTER,ST JOSEPH MEDICAL CENTER,127 SOUTH BROADWAY,1401 ST. JOSEPH PARKWAY
8920564,73368,869090,0.9743589743589745,ST JOSEPH MEDICAL CENTER,ST JOSEPH'S MEDICAL CENTER,1717 SOUTH J STREET,127 SOUTH BROADWAY
2871193,50218,869090,0.9743589743589745,ST JOSEPH MEDICAL CENTER,ST JOSEPH'S MEDICAL CENTER,2200 E WASHINGTON,127 SOUTH BROADWAY
4406756,92950,239181,0.9743589743589745,GARRISON MEMORIAL HOSPITAL,HARRISON MEMORIAL HOSPITAL,407 3RD AVE SE,2520 CHERRY AVENUE
12338648,22744,320305,0.9743589743589745,ST JOSEPH'S MEDICAL CENTER,ST JOSEPH MEDICAL CENTER,127 SOUTH BROADWAY,1717 SOUTH J STREET
899686,71713,869090,0.9743589743589745,ST JOSEPH MEDICAL CENTER,ST JOSEPH'S MEDICAL CENTER,1401 ST. JOSEPH PARKWAY,127 SOUTH BROADWAY
12338629,22744,464198,0.9743589743589745,ST JOSEPH'S MEDICAL CENTER,ST JOSEPH MEDICAL CENTER,127 SOUTH BROADWAY,2901 SQUALICUM PARKWAY
13133481,58317,445144,0.9727777777777779,PRESTON MEMORIAL HOSPITAL,PERSON MEMORIAL HOSPITAL,150 MEMORIAL DRIVE,615 RIDGE RD
4846394,55417,177880,0.9722222222222222,ST MARY MEDICAL CENTER,ST MARY'S MEDICAL CENTER,3333 NORTH SEMINARY,2900 1ST AVENUE
4844125,55417,889538,0.9722222222222222,ST MARY MEDICAL CENTER,ST MARY'S MEDICAL CENTER,3333 NORTH SEMINARY,450 STANYAN ST
13459465,48003,815904,0.9722222222222222,ST MARY MEDICAL CENTER,ST MARY'S MEDICAL CENTER,1050 LINDEN AVE,201 NW R D MIZE RD
9580348,20535,402102,0.9722222222222222,ST MARY MEDICAL CENTER,ST MARY'S MEDICAL CENTER,LANGHORNE-NEWTOWN RD,901 45TH ST
13509505,58442,213184,0.9722222222222222,ST MARY'S MEDICAL CENTER,ST MARY MEDICAL CENTER,201 NW R D MIZE RD,1050 LINDEN AVE
9581179,20535,815904,0.9722222222222222,ST MARY MEDICAL CENTER,ST MARY'S MEDICAL CENTER,LANGHORNE-NEWTOWN RD,201 NW R D MIZE RD
9580057,20535,889538,0.9722222222222222,ST MARY MEDICAL CENTER,ST MARY'S MEDICAL CENTER,LANGHORNE-NEWTOWN RD,450 STANYAN ST
4845247,55417,815904,0.9722222222222222,ST MARY MEDICAL CENTER,ST MARY'S MEDICAL CENTER,3333 NORTH SEMINARY,201 NW R D MIZE RD
858250,76905,402102,0.9722222222222222,ST MARY MEDICAL CENTER,ST MARY'S MEDICAL CENTER,18300 HIGHWAY 18,901 45TH ST
9038398,29737,353834,0.9722222222222222,ST MARY'S MEDICAL CENTER,ST MARY MEDICAL CENTER,2900 1ST AVENUE,3333 NORTH SEMINARY
859081,76905,815904,0.9722222222222222,ST MARY MEDICAL CENTER,ST MARY'S MEDICAL CENTER,18300 HIGHWAY 18,201 NW R D MIZE RD
13458343,48003,889538,0.9722222222222222,ST MARY MEDICAL CENTER,ST MARY'S MEDICAL CENTER,1050 LINDEN AVE,450 STANYAN ST
9037879,29737,213184,0.9722222222222222,ST MARY'S MEDICAL CENTER,ST MARY MEDICAL CENTER,2900 1ST AVENUE,1050 LINDEN AVE
5487811,16074,740900,0.9722222222222222,ST MARY'S MEDICAL CENTER,ST MARY MEDICAL CENTER,450 STANYAN ST,LANGHORNE-NEWTOWN RD
6087361,46092,213184,0.9722222222222222,ST MARY'S MEDICAL CENTER,ST MARY MEDICAL CENTER,901 45TH ST,1050 LINDEN AVE
13458634,48003,402102,0.9722222222222222,ST MARY MEDICAL CENTER,ST MARY'S MEDICAL CENTER,1050 LINDEN AVE,901 45TH ST
6087401,46092,580335,0.9722222222222222,ST MARY'S MEDICAL CENTER,ST MARY MEDICAL CENTER,901 45TH ST,18300 HIGHWAY 18
13458921,48003,598490,0.9722222222222222,ST MARY MEDICAL CENTER,ST MARY'S MEDICAL CENTER,1050 LINDEN AVE,3700 WASHINGTON AVE
858537,76905,598490,0.9722222222222222,ST MARY MEDICAL CENTER,ST MARY'S MEDICAL CENTER,18300 HIGHWAY 18,3700 WASHINGTON AVE
6087880,46092,353834,0.9722222222222222,ST MARY'S MEDICAL CENTER,ST MARY MEDICAL CENTER,901 45TH ST,3333 NORTH SEMINARY
9037919,29737,580335,0.9722222222222222,ST MARY'S MEDICAL CENTER,ST MARY MEDICAL CENTER,2900 1ST AVENUE,18300 HIGHWAY 18
9580635,20535,598490,0.9722222222222222,ST MARY MEDICAL CENTER,ST MARY'S MEDICAL CENTER,LANGHORNE-NEWTOWN RD,3700 WASHINGTON AVE
5485930,16074,213184,0.9722222222222222,ST MARY'S MEDICAL CENTER,ST MARY MEDICAL CENTER,450 STANYAN ST,1050 LINDEN AVE
9582326,20535,177880,0.9722222222222222,ST MARY MEDICAL CENTER,ST MARY'S MEDICAL CENTER,LANGHORNE-NEWTOWN RD,2900 1ST AVENUE
857959,76905,889538,0.9722222222222222,ST MARY MEDICAL CENTER,ST MARY'S MEDICAL CENTER,18300 HIGHWAY 18,450 STANYAN ST
4844703,55417,598490,0.9722222222222222,ST MARY MEDICAL CENTER,ST MARY'S MEDICAL CENTER,3333 NORTH SEMINARY,3700 WASHINGTON AVE
4844416,55417,402102,0.9722222222222222,ST MARY MEDICAL CENTER,ST MARY'S MEDICAL CENTER,3333 NORTH SEMINARY,901 45TH ST
5486449,16074,353834,0.9722222222222222,ST MARY'S MEDICAL CENTER,ST MARY MEDICAL CENTER,450 STANYAN ST,3333 NORTH SEMINARY
9039760,29737,740900,0.9722222222222222,ST MARY'S MEDICAL CENTER,ST MARY MEDICAL CENTER,2900 1ST AVENUE,LANGHORNE-NEWTOWN RD
13510024,58442,353834,0.9722222222222222,ST MARY'S MEDICAL CENTER,ST MARY MEDICAL CENTER,201 NW R D MIZE RD,3333 NORTH SEMINARY
6089242,46092,740900,0.9722222222222222,ST MARY'S MEDICAL CENTER,ST MARY MEDICAL CENTER,901 45TH ST,LANGHORNE-NEWTOWN RD
13509545,58442,580335,0.9722222222222222,ST MARY'S MEDICAL CENTER,ST MARY MEDICAL CENTER,201 NW R D MIZE RD,18300 HIGHWAY 18
5485970,16074,580335,0.9722222222222222,ST MARY'S MEDICAL CENTER,ST MARY MEDICAL CENTER,450 STANYAN ST,18300 HIGHWAY 18
13460612,48003,177880,0.9722222222222222,ST MARY MEDICAL CENTER,ST MARY'S MEDICAL CENTER,1050 LINDEN AVE,2900 1ST AVENUE
13511386,58442,740900,0.9722222222222222,ST MARY'S MEDICAL CENTER,ST MARY MEDICAL CENTER,201 NW R D MIZE RD,LANGHORNE-NEWTOWN RD
860228,76905,177880,0.9722222222222222,ST MARY MEDICAL CENTER,ST MARY'S MEDICAL CENTER,18300 HIGHWAY 18,2900 1ST AVENUE
6595943,51390,423029,0.9710144927536232,MARION GENERAL HOSPITAL,MARTIN GENERAL HOSPITAL,441 N WABASH AVE,310 S MCCASKEY RD P O BOX 1128
8802981,38285,363668,0.9710144927536232,ST MARYS MEDICAL CENTER,ST MARKS MEDICAL CENTER,2635 N 7TH ST,ONE ST MARK'S PLACE
4548951,73530,131390,0.9710144927536232,MARTIN GENERAL HOSPITAL,MARION GENERAL HOSPITAL,310 S MCCASKEY RD P O BOX 1128,1000 MCKINLEY PARK DRIVE
4384403,19595,423029,0.9710144927536232,MARION GENERAL HOSPITAL,MARTIN GENERAL HOSPITAL,1000 MCKINLEY PARK DRIVE,310 S MCCASKEY RD P O BOX 1128
12863771,20906,423029,0.9710144927536232,MARION GENERAL HOSPITAL,MARTIN GENERAL HOSPITAL,1560 SUMRALL RD,310 S MCCASKEY RD P O BOX 1128
4547993,73530,689837,0.9710144927536232,MARTIN GENERAL HOSPITAL,MARION GENERAL HOSPITAL,310 S MCCASKEY RD P O BOX 1128,441 N WABASH AVE
4548501,73530,141393,0.9710144927536232,MARTIN GENERAL HOSPITAL,MARION GENERAL HOSPITAL,310 S MCCASKEY RD P O BOX 1128,1560 SUMRALL RD
