,Account_Num,Provider_Num,Similar Score,Facility Name,Provider Name,Address,Provider Street Address
11437945,65929,159781,1.0,SHERIDAN MEMORIAL HOSPTIAL,SHERIDAN MEMORIAL HOSPITAL,440 W LAUREL AVE,1401 W 5TH ST
2149418,50717,347401,0.9767441860465116,MAYO CLINIC HLTH SYSTEM FRANCISCAN MED CTR,MAYO CLINIC HLTH SYSTEM  FRANCISCAN MED CTR,700 WEST AVENUE SOUTH,700 WEST AVENUE SOUTH
932222,13006,146875,0.9714285714285714,THE MOSES H CONE MEMORIAL HOSPITAL,"MOSES H CONE MEMORIAL HOSPITAL, THE",1200 N ELM ST,1200 N ELM ST
10925406,62307,498827,0.9705882352941176,PEACEHEALTH ST JOHN MEDICAL CENTER,PEACHEALTH ST JOHN MEDICAL CENTER,1615 DELAWARE STREET,1615 DELAWARE STREET
10764670,77747,334333,0.9696969696969697,ST LUKE'S REGIONAL MEDICAL CENTER,ST LUKES REGIONAL MEDICAL CENTER,190 EAST BANNOCK STREET,2720 STONE PARK BOULEVARD
10771948,82649,238458,0.9696969696969697,ST MARY'S REGIONAL MEDICAL CENTER,ST MARYS REGIONAL MEDICAL CENTER,305 SOUTH 5TH STREET,1808 WEST MAIN STREET
7786955,29656,416060,0.9696969696969697,ST LUKES REGIONAL MEDICAL CENTER,ST LUKE'S REGIONAL MEDICAL CENTER,2720 STONE PARK BOULEVARD,190 EAST BANNOCK STREET
5920045,54520,238458,0.9696969696969697,ST MARY'S REGIONAL MEDICAL CENTER,ST MARYS REGIONAL MEDICAL CENTER,93 CAMPUS AVENUE - PO BOX 291,1808 WEST MAIN STREET
10772925,82649,126760,0.9696969696969697,ST MARY'S REGIONAL MEDICAL CENTER,ST MARYS REGIONAL MEDICAL CENTER,305 SOUTH 5TH STREET,93 CAMPUS AVENUE - PO BOX 7291
5921022,54520,126760,0.9696969696969697,ST MARY'S REGIONAL MEDICAL CENTER,ST MARYS REGIONAL MEDICAL CENTER,93 CAMPUS AVENUE - PO BOX 291,93 CAMPUS AVENUE - PO BOX 7291
7898742,53367,887160,0.9696969696969697,ST MARYS REGIONAL MEDICAL CENTER,ST MARY'S REGIONAL MEDICAL CENTER,1808 WEST MAIN STREET,305 SOUTH 5TH STREET
415882,11476,792528,0.96875,KENDALL REGIONAL MEDICAL CENTER,LAKELAND REGIONAL MEDICAL CENTER,11750 BIRD RD,1324 LAKELAND HILLS BLVD
9421183,15256,303792,0.96875,LAKELAND REGIONAL MEDICAL CENTER,KENDALL REGIONAL MEDICAL CENTER,1324 LAKELAND HILLS BLVD,11750 BIRD RD
8838590,88680,337799,0.9666666666666667,DOCTORS MEMORIAL HOSPITAL INC,DOCTOR'S MEMORIAL HOSPITAL INC,333 N BYRON BUTLER PKWY,333 N BYRON BUTLER PKWY
5193608,92800,629445,0.9666666666666667,NEVADA REGIONAL MEDICAL CENTER,ADENA REGIONAL MEDICAL CENTER,800 S ASH ST,272 HOSPITAL ROAD
3548134,18098,149910,0.9642857142857143,LANE REGIONAL MEDICAL CENTER,LEA REGIONAL MEDICAL CENTER,6300 MAIN STREET,5419 N LOVINGTON HIGHWAY
7835833,29949,600145,0.9642857142857143,LEA REGIONAL MEDICAL CENTER,LANE REGIONAL MEDICAL CENTER,5419 N LOVINGTON HIGHWAY,6300 MAIN STREET
1216745,42494,642561,0.9642857142857143,"PARKVIEW MEDICAL CENTER, INC",PARKVIEW MEDICAL CENTER INC,400 W 16TH ST,400 W 16TH STREET
13607675,36227,688441,0.9629629629629629,LAKE VIEW MEMORIAL HOSPITAL,LAKEVIEW MEMORIAL HOSPITAL,325 ELEVENTH AVE,927 WEST CHURCHILL STREET
5337160,93765,717038,0.9615384615384616,JOHNSON MEMORIAL HOSPITAL,JOHNSTON MEMORIAL HOSPITAL,201 CHESTNUT HILL ROAD,16000 JOHNSTON MEMORIAL DRIVE
11591503,39567,717038,0.9615384615384616,JOHNSON MEMORIAL HOSPITAL,JOHNSTON MEMORIAL HOSPITAL,1282 WALNUT STREET,16000 JOHNSTON MEMORIAL DRIVE
6508288,67452,657875,0.9615384615384616,JOHNSTON MEMORIAL HOSPITAL,JOHNSON MEMORIAL HOSPITAL,16000 JOHNSTON MEMORIAL DRIVE,201 CHESTNUT HILL ROAD
4671001,93047,717038,0.9615384615384616,JOHNSON MEMORIAL HOSPITAL,JOHNSTON MEMORIAL HOSPITAL,1125 W JEFFERSON ST,16000 JOHNSTON MEMORIAL DRIVE
6508703,67452,621534,0.9615384615384616,JOHNSTON MEMORIAL HOSPITAL,JOHNSON MEMORIAL HOSPITAL,16000 JOHNSTON MEMORIAL DRIVE,1125 W JEFFERSON ST
